Albania;+41.3317;+19.8172
Andorra;+42.5075;+1.5218
Austria;+48.2092;+16.3728
Belarus;+53.9678;+27.5766
Belgium;+50.8371;+4.3676
Bosnia and Herzegovina;+43.8608;+18.4214
Bulgaria;+42.7105;+23.3238
Croatia;+45.8150;+15.9785
Czech Republic;50.0878 ; +14.4205
Denmark;55.6763;+12.5681
Estonia;+59.4389;+24.7545
Finland;+60.1699;+24.9384
France;+48.8567;+2.3510
Germany;+52.5235;+13.4115
Greece;+37.9792;+23.7166
Hungary;+47.4984;+19.0408
Iceland;+64.1353;-21.8952
Ireland;+53.3441;-6.2675
Italy;+41.8955;+12.4823
Latvia;+56.9465;+24.1049
Liechtenstein;+47.1411;+9.5215
Lithuania;+54.6896;+25.2799
Luxembourg;+49.6100;+6.1296
Macedonia;+42.0024;+21.4361
Malta;+35.9042;+14.5189
Moldova;+47.0167;+28.8497
Monaco;+43.7325;+7.4189
Montenegro;+42.4602;+19.2595
Netherlands;+52.3738;+4.8910
Norway;+59.9138;+10.7387
Poland;+52.2297;+21.0122
Portugal;+38.7072;-9.1355
Romania;+44.4479;+26.0979
Russia;+55.7558;+37.6176
San Marino;+43.9424;+12.4578
Serbia;+44.8048;+20.4781
Slovakia;+48.2116;+17.1547
Slovenia;+46.0514;+14.5060
Spain;+40.4167;-3.7033
Sweden;+59.3328;+18.0645
Switzerland;+46.9480;+7.4481
Ukraine;+50.4422;+30.5367
United Kingdom;+51.5002;-0.1262
